customer_type,customer_idx,param,created_at
user,5147,talk to me in korean,2022-06-28 22:35:11
user,5151,허리,2022-06-29 04:02:43
user,5151,허리 운동,2022-06-29 04:02:53
user,5151,허리 운동,2022-06-29 04:09:23
user,5151,허리,2022-06-29 04:09:57
user,5151,허리디스크,2022-06-29 04:18:51
user,5152,my enemy,2022-06-29 14:51:13
user,5152,"적의 심장, 그를 가지다",2022-06-29 15:04:12
user,5155,불편하고 행복하게,2022-06-30 14:20:17
user,5060,북한의,2022-07-01 03:05:45
user,5060,가야금교본,2022-07-01 03:11:36
user,5156,sejong,2022-07-02 02:07:38
user,4968,사이코지만 괜찮아,2022-07-02 06:46:05
user,5111,black pink,2022-07-02 09:10:13
user,5111,black pink,2022-07-02 09:10:23
user,5111,black pink,2022-07-02 09:10:27
company,46,9791168012288 9791168012523 9791168013001 9791168014411 9791168014930 9788965113058 9788965113508 9788965113591 9788965113300 9788937473258 9788937473265 9788937473272 9788937473289 9788937473296 9788937473302 9788937473319 9788937473326 9788937473333 9788937473340 9788937473357 9788937473364 9788954645010 9788954646772 9788954652186 9788954655439 9788954655446 9788954670869 9788954680813 9788954686730 9788954686747 9788954686754 9788954686761 9788954686778,2022-07-02 11:01:40
company,46,9791168012288 9791168012523 9791168013001 9791168014411 9791168014930 9788965113058 9788965113508 9788965113591 9788965113300 9788937473258 9788937473265 9788937473272 9788937473289 9788937473296 9788937473302 9788937473319 9788937473326 9788937473333 9788937473340 9788937473357 9788937473364 9788954645010 9788954646772 9788954652186 9788954655439 9788954655446 9788954670869 9788954680813 9788954686730 9788954686747 9788954686754 9788954686761 9788954686778,2022-07-02 11:02:08
company,46,9791168012288 9791168012523 9791168013001 9791168014411 9791168014930 9788965113058 9788965113508 9788965113591 9788965113300 9788937473258 9788937473265 9788937473272 9788937473289 9788937473296 9788937473302 9788937473319 9788937473326 9788937473333 9788937473340 9788937473357 9788937473364 9788954645010 9788954646772 9788954652186 9788954655439 9788954655446 9788954670869 9788954680813 9788954686730 9788954686747 9788954686754 9788954686761 9788954686778,2022-07-02 11:10:34
company,46,9791168012288 9791168012523 9791168013001 9791168014411 9791168014930 9788965113058 9788965113508 9788965113591 9788965113300 9788937473258 9788937473265 9788937473272 9788937473289 9788937473296 9788937473302 9788937473319 9788937473326 9788937473333 9788937473340 9788937473357 9788937473364 9788954645010 9788954646772 9788954652186 9788954655439 9788954655446 9788954670869 9788954680813 9788954686730 9788954686747 9788954686754 9788954686761 9788954686778,2022-07-02 11:10:50
company,46,9791168012288 9791168012523 9791168013001 9791168014411 9791168014930 9788965113058 9788965113508 9788965113591 9788965113300 9788937473258 9788937473265 9788937473272 9788937473289 9788937473296 9788937473302 9788937473319 9788937473326 9788937473333 9788937473340 9788937473357 9788937473364 9788954645010 9788954646772 9788954652186 9788954655439 9788954655446 9788954670869 9788954680813 9788954686730 9788954686747 9788954686754 9788954686761 9788954686778,2022-07-02 11:12:30
company,46,9788964478189 9788956409122 9788956409177 9791130800349 9791130801988 9791130810874 9791130816623 9791130816692 9791130817057 9791130817156 9791130819051 9791130819242 9791130802893 9791130802954 9791130803227 9791130810867 9791130813998 9791130814605 9791130816876 9791130817071 9791130817255 9791130817859 9791130818078 9791130819266 9788954446341 9788954446907 9788954447065 9788954447157 9788954447300 9788954447485 9788954447546 9788954447645 9788954447898 9788954448062 9788954448222 9788954448338 9791130637167 9791130638362 9791130677804 9791130679402 9791130690230 9791130691053,2022-07-02 12:07:44
company,46,9788964478189 9788956409122 9788956409177 9791130800349 9791130801988 9791130810874 9791130816623 9791130816692 9791130817057 9791130817156 9791130819051 9791130819242 9791130802893 9791130802954 9791130803227 9791130810867 9791130813998 9791130814605 9791130816876 9791130817071 9791130817255 9791130817859 9791130818078 9791130819266 9788954446341 9788954446907 9788954447065 9788954447157 9788954447300 9788954447485 9788954447546 9788954447645 9788954447898 9788954448062 9788954448222 9788954448338 9791130637167 9791130638362 9791130677804 9791130679402 9791130690230 9791130691053,2022-07-02 12:09:38
